"Step","Fcrimnet_20datasetBaseline - train/lossFcrimnet_20datasetBaseline - train/loss","Fcrimnet_20datasetBaseline - train/loss__MIN","Fcrimnet_20datasetBaseline - train/loss__MAX","Fcrimnet_FulldatasetBaseline - train/loss","Fcrimnet_FulldatasetBaseline - train/loss__MIN","Fcrimnet_FulldatasetBaseline - train/loss__MAX"
"86","0.03168560898033902","0.03168560898033902","0.03168560898033902","","",""
"87","0.03114205239256844","0.03114205239256844","0.03114205239256844","","",""
"88","0.0295839465374127","0.0295839465374127","0.0295839465374127","","",""
"89","0.029726185411028564","0.029726185411028564","0.029726185411028564","","",""
"90","0.02836508477944881","0.02836508477944881","0.02836508477944881","","",""
"91","0.02752706693829969","0.02752706693829969","0.02752706693829969","","",""
"92","0.028277139068115506","0.028277139068115506","0.028277139068115506","","",""
"93","0.02798823359701783","0.02798823359701783","0.02798823359701783","","",""
"94","0.027052879832684996","0.027052879832684996","0.027052879832684996","","",""
"95","0.02670072512868792","0.02670072512868792","0.02670072512868792","","",""
"96","0.025039831104595213","0.025039831104595213","0.025039831104595213","","",""
"97","0.02557733766026795","0.02557733766026795","0.02557733766026795","","",""
"98","0.024779750479804356","0.024779750479804356","0.024779750479804356","","",""
"99","0.022915869983937593","0.022915869983937593","0.022915869983937593","","",""
"100","0.02320427196575329","0.02320427196575329","0.02320427196575329","","",""
