"Step","Fcrimnet_20datasetBaseline - test/micro_auc","Fcrimnet_20datasetBaseline - test/micro_auc__MIN","Fcrimnet_20datasetBaseline - test/micro_auc__MAX","Fcrimnet_FulldatasetBaseline - test/micro_auc","Fcrimnet_FulldatasetBaseline - test/micro_auc__MIN","Fcrimnet_FulldatasetBaseline - test/micro_auc__MAX"
"51","0.852713192125903","0.852713192125903","0.852713192125903","0.8598598036884715","0.8598598036884715","0.8598598036884715"
"52","0.8551987989112286","0.8551987989112286","0.8551987989112286","","",""
"53","0.8502461721652773","0.8502461721652773","0.8502461721652773","","",""
"54","0.8521254501569413","0.8521254501569413","0.8521254501569413","","",""
"55","0.8523970258669201","0.8523970258669201","0.8523970258669201","","",""
"56","0.8531071174175195","0.8531071174175195","0.8531071174175195","","",""
"57","0.8580167470860081","0.8580167470860081","0.8580167470860081","","",""
"58","0.8565680839611707","0.8565680839611707","0.8565680839611707","","",""
"59","0.853145215372241","0.853145215372241","0.853145215372241","","",""
"60","0.8481291248865968","0.8481291248865968","0.8481291248865968","","",""
"61","0.8550593548763172","0.8550593548763172","0.8550593548763172","","",""
"62","0.8543162797820032","0.8543162797820032","0.8543162797820032","","",""
"63","0.8502538558112325","0.8502538558112325","0.8502538558112325","","",""
"64","0.8538483046867519","0.8538483046867519","0.8538483046867519","","",""
"65","0.8532000332345329","0.8532000332345329","0.8532000332345329","","",""
"66","0.851007747841706","0.851007747841706","0.851007747841706","","",""
"67","0.850451708244839","0.850451708244839","0.850451708244839","","",""
"68","0.8555885864834535","0.8555885864834535","0.8555885864834535","","",""
"69","0.8552178485358511","0.8552178485358511","0.8552178485358511","","",""
"70","0.8528181535712709","0.8528181535712709","0.8528181535712709","","",""
"71","0.8488452439591551","0.8488452439591551","0.8488452439591551","","",""
"72","0.850394462166845","0.850394462166845","0.850394462166845","","",""
"73","0.8492174648626207","0.8492174648626207","0.8492174648626207","","",""
"74","0.851625701112068","0.851625701112068","0.851625701112068","","",""
"75","0.8502759430182406","0.8502759430182406","0.8502759430182406","","",""
"76","0.8512675035025923","0.8512675035025923","0.8512675035025923","","",""
"77","0.8473952384041056","0.8473952384041056","0.8473952384041056","","",""
"78","0.8483009179096572","0.8483009179096572","0.8483009179096572","","",""
"79","0.8515601814361838","0.8515601814361838","0.8515601814361838","","",""
"80","0.8495421211222289","0.8495421211222289","0.8495421211222289","","",""
